symbols,n_windows
ARID1B,10
RNF19A,10
HSPH1,10
CCDC186,10
SIPA1L2,10
GIMAP7,9
PTPRE,9
STARD4,9
CDKN1A,9
MTPN,9
TLE1,8
NREP,8
HERPUD1,8
PHACTR1,8
MRPL33,8
TMF1,7
TSC22D2,7
DOCK9,7
SERINC5,7
ARHGAP18,7
SGK1,7
TMTC4,7
SEC14L1,7
ATP1B2,7
TMED4,7
TBC1D4,7
FOXO1,7
FRY,7
GALNT1,7
SLC16A2,7
SEMA6A,7
HIF3A,6
ARF6,6
ANKS1A,6
ANKRD12,6
NPIPB11,6
GIT2,6
FXYD5,6
SNRK,6
SUPT7L,6
NPTN,6
YWHAB,5
FAM43A,5
SLC48A1,5
RHOB,5
ETS2,5
TMEM88,5
SPTBN1,5
AKIRIN1,5
NOP10,5
KIAA0355,5
KCNJ2,5
THY1,5
TMEM14C,5
TMEM50B,5
MEF2A,5
ARFGEF2,5
CSRNP1,5
PIAS2,5
JAM2,5
CASP3,4
EIF4H,4
MYH10,4
PEAK1,4
H2AFZ,4
SRRM1,4
RPS6KA2,4
NFIB,4
ACSL3,4
PPP1R12A,4
TAF13,4
REEP5,4
MMRN1,4
B4GALT1,4
GADD45B,4
PROCR,4
FAM120A,4
RAB7A,4
CSNK1A1,4
MAML2,4
ARL4A,4
HNRNPA0,4
UBR2,4
SORBS1,3
GADD45A,3
TGM2,3
TBX3,3
SERTAD1,3
PELI1,3
TXNDC12,3
KLF10,3
DUSP5,3
TM4SF1,3
SLC25A5,3
DHX30,3
BCL10,3
CXCL1,3
PTPRG,3
PIGT,3
SLC39A8,3
LPAR6,3
RPS27,3
AFAP1L2,3
NR4A1,3
PMAIP1,3
IFNAR2,3
CHIC2,3
CCNY,3
UQCRB,3
BCL2L11,3
ABHD17A,3
PTP4A2,3
BCL6B,3
IFI27,3
CCNT1,3
DYRK1A,3
PLLP,3
JUNB,3
PRKAB1,3
MT2A,3
GNG5,3
CLEC3B,3
RAMP2,3
SOCS3,3
ATP11A,3
MYO1E,3
TRPC6,3
CD200,3
UQCC2,3
SH2D3C,3
RORA,3
MBD1,3
SPARCL1,3
ARHGEF10,3
ATP6V0E1,3
LZTS1,3
PHLDB1,3
MRPL57,3
ITSN1,2
SKIL,2
TCN2,2
CALCRL,2
IRF1,2
DDX3X,2
HTRA1,2
COMMD10,2
NDUFB9,2
RGS3,2
SPCS3,2
ANXA1,2
VSIG10,2
IGFBP4,2
GPX1,2
ARF4,2
RASIP1,2
SLC16A1,2
MT1E,2
TMEM189,2
HMGB1,2
MT1X,2
RPL34,2
STOM,2
YPEL2,2
HAT1,2
IER3IP1,2
CMTM6,2
TSC22D1,2
ROMO1,2
MGST2,2
TMED2,2
NPDC1,2
MYNN,2
ANGPT2,2
DUSP1,2
GATA2,2
SOX18,2
LSR,2
PALMD,2
RPL13A,2
ADM,2
SLC7A8,2
SYTL2,2
FEZ2,2
SBF2,2
CDC42BPA,2
KLHL20,2
KIF5B,2
BMPR2,2
STXBP1,2
MYCT1,2
RELL1,2
TMEM230,2
HINT1,2
ARID2,2
TPM4,2
ST3GAL5,2
NFAT5,2
COQ10B,2
CALU,2
UBN1,2
FAM124B,2
PHC2,2
SRGAP2C,2
TBC1D9B,2
ANAPC16,2
AFF1,2
STX3,2
GIMAP5,2
REEP3,2
CA2,2
MCC,2
DGKH,2
HYAL2,1
YAF2,1
SHE,1
DDX18,1
NDUFB3,1
RNF13,1
RGCC,1
NR3C1,1
TACC1,1
LMO2,1
MRPL20,1
HOPX,1
SELE,1
MT1F,1
CPD,1
NTM,1
EIF3J,1
ECI2,1
PIM3,1
LIMS1,1
TSPAN9,1
BCAP29,1
EMCN,1
NDUFB5,1
HIGD1B,1
RPL31,1
RPL27,1
ITGA5,1
ECM1,1
IFI35,1
TBPL1,1
RPL21,1
SERF2,1
FOXQ1,1
MX1,1
CD2AP,1
KLF2,1
FOSB,1
TPM2,1
CFH,1
ABCG2,1
IL32,1
MAP1LC3B,1
FTL,1
ABCB1,1
CSGALNACT1,1
APCDD1,1
LXN,1
CLDN5,1
RPL9,1
TNFSF10,1
NUMB,1
SLC5A6,1
RASSF3,1
ISG15,1
ZNFX1,1
ACTN4,1
SORT1,1
MAP1LC3A,1
CEP68,1
CCDC88A,1
TNFRSF21,1
AK2,1
CNIH4,1
TCEAL8,1
CTNNB1,1
BAZ2A,1
TMEM109,1
ZNF521,1
HNRNPA2B1,1
ARHGAP26,1
ATXN1,1
SLC12A6,1
DAD1,1
CDC42,1
PSMB6,1
VCL,1
FOXF1,1
SRGN,1
LAMTOR5,1
KLF4,1
MAP4K2,1
DDX5,1
MMRN2,1
GNG11,1
ELF1,1
CASP4,1
TPT1,1
EIF5,1
MCF2L,1
DNAJB14,1
PDCD6,1
STRA6,1
DUSP6,1
VWA1,1
ZKSCAN1,1
GTF2A2,1
DONSON,1
ESYT2,1
RPS12,1
MAFF,1
B2M,1
CLDND1,1
STARD13,1
