age window,OPC,OPC_p,astrocyte,astrocyte_p,endothelial,endothelial_p,microglia,microglia_p,neuron_excitatory,neuron_excitatory_p,neuron_inhibitory,neuron_inhibitory_p,oligodendrocyte,oligodendrocyte_p,pericyte,pericyte_p,progenitor,progenitor_p,radial_glia,radial_glia_p
0,0.9092615012106537,0.7142487111991591,0.7483716173694147,0.9251159325083291,0.8696844960502523,0.9290096925293014,0.7871094517586952,0.9395780191406222,1.195633758627902,0.00507242173913298,1.3755494505494508,0.0264810002442944,1.3946211933646944,0.016516596535811657,0.4818541488451668,0.9956359729676805,0.7450892857142857,0.9989977803311192,0.877413001674834,0.9719582524571073
1,1.0195866706760341,0.4871132571413871,0.8094762915782024,0.874756440948794,0.8369022005410817,0.9731150826444939,0.8347129340883592,0.8977836933541528,1.1584680231012887,0.014020407729776616,1.5443911290813654,0.0017477754275927208,1.3844038127477618,0.014046896033219052,0.5247390837234288,0.9939545108657074,0.7785860483587652,0.9976161263173196,0.9079750240421469,0.9356923223717107
2,1.037126546939456,0.44963533768550307,0.9752710174583133,0.5836830377594717,0.8286389391512259,0.9778716347596285,0.8255833759155169,0.9080252089097518,1.127623410588211,0.04011956612036625,1.638832466814503,0.00037973695368022944,1.2263692455851558,0.09883051342623952,0.5337661324911296,0.9926513659145179,0.8021191878129227,0.9937999475088113,0.9086988083765988,0.9328572568013812
3,0.7594367015098722,0.7841983142205622,0.9979777167277167,0.570493172223966,1.0805866691149468,0.396920917924118,0.7443084803642572,0.8346374124756988,0.9496468180617903,0.6716595623470943,0.8208322872206879,0.7424501004764342,1.5263188608776845,0.11552014821041728,0.27313074352548034,0.9771001771037766,0.7533122119815668,0.9276798348376314,0.9372312470138557,0.712442178093224
4,1.0669244816843915,0.38389678046111536,1.198163483987255,0.1667009502297674,0.8721570595245561,0.9370312499253501,1.0212205537470684,0.46588371898576253,1.131610379322105,0.032954893179014115,1.4117479833694608,0.01189117439621408,1.2354837313949463,0.08586261227904221,0.7074880328242534,0.9360101416346773,0.8584301921393113,0.9656600768237169,0.8583405124603787,0.9904312586205373
5,0.9575126019125646,0.623926803924318,1.007113479939567,0.515033427130036,1.0015212768639843,0.5152366709265144,1.0178440575057575,0.47527947382791513,1.0309604139574222,0.34634195153482455,1.28008906597914,0.060428948416728016,1.2603564677288683,0.06499406048359263,0.6561384961014932,0.9639263761304887,0.8555919352059279,0.9685058071402273,0.92691438709906,0.8905926945958975
6,1.2772204551015414,0.2901239105965847,1.3403948001925854,0.24748185176236137,0.9012776733300082,0.7412610350920421,1.2515734580111488,0.24739371591217646,0.9013240138962753,0.7871539956317224,0.9618573797678276,0.6019293820681442,1.2730465320456539,0.2589157607694086,0.22780832678711702,0.9891476821694644,0.6735773581659427,0.9804281000114647,0.7817101782059601,0.9615208336124246
7,1.0674232902971905,0.37812470238294915,1.1948703839159291,0.16328042970337664,1.1432528204952976,0.05712725162858074,1.3356568703981095,0.011932416261014772,0.8424626617800275,0.9930681197304223,1.02829693176347,0.45763834369334466,1.5199991665928756,0.0011544577004846306,0.7096953554485369,0.9393767652446333,0.7496263816828332,0.9995559949150744,0.8584365811671322,0.991941294353305
8,1.094310703786238,0.3011516740502409,1.0070817671732855,0.509840783661452,1.2682905634395951,0.0005566510568383166,1.453882880729042,0.00043841851091091567,0.7170261469516717,0.9999995669743497,0.9806798125767119,0.5782412388772364,1.532925007985221,0.0002992067444704447,0.9063235863960177,0.7177877067933582,0.7882691295013571,0.9989925673296518,0.7957681499811265,0.9999358615272901
9,1.0213721413721413,0.4682697345255575,0.9991683991683992,0.5281045459848326,1.4128922250749663,8.207114909862181e-08,1.5864658551681454,3.9021129617070804e-06,0.725598248660074,0.9999997957861968,0.9117886532335202,0.7636057578151046,1.267061375757028,0.030084140893985187,1.2081447963800904,0.15206980101733844,0.8084685626378029,0.9984523819356942,0.7802519850712623,0.9999941035069011
